x,y
599.4663899,223.691973
628.319237,290.4913137
633.4300338,298.2829639
588.0816889,265.1241569
610.3984053,249.888039
665.9979848,281.7778802
604.4026193,222.5062187
666.8047415,309.8997427
643.3977429,306.1120042
611.1920939,254.0389946
599.8560468,258.672428
576.1134266,229.9544575
606.6385167,316.8546702
611.8120748,303.2736519
640.312529,256.9975573
631.1899805,223.0824998
671.3976171,254.2453564
654.7083876,262.898634
648.0170359,270.2074685
611.3535572,285.2484663
662.234282,214.4534488
671.0233891,270.5636792
616.4623218,214.6918627
612.3858913,250.9036294
620.7756794,213.1416889
620.0243803,266.0989504
618.0101403,288.4163258
598.6130723,204.0552842
676.3423104,203.8669439
662.0159241,267.5192593
599.0482738,230.8528763
607.6938365,239.4609933
672.1114382,244.7509807
604.8247072,215.523502
688.8287678,226.3220714
600.6425044,291.4250559
607.9604299,211.8103569
681.1611189,286.905452
669.4491735,218.7125377
621.8885035,251.8282469
669.7688571,263.038076
631.8402798,277.8720343
624.511821,251.9016387
675.7125143,312.0382977
605.0272158,288.0082161
653.9482508,288.1213788
585.6600699,283.6636344
580.0806961,295.6945229
568.2878733,230.0937066
586.8720191,313.9052515
624.9774151,395.7559439
612.1353904,400.5265048
664.4501542,403.6348547
625.7532794,437.604353
589.2305082,393.552298
612.7376317,392.4294985
685.2654677,441.4650611
594.6724457,425.9207491
609.7536337,350.6562944
655.5870025,429.1683719
593.0340592,413.8659762
668.9285817,427.405854
614.1002347,435.2405114
642.436149,405.6669338
644.1101879,445.4141967
663.511136,426.7176243
634.4717412,414.3658885
618.7459446,394.1578699
614.9027971,381.0612322
635.4577925,369.8457484
593.5047463,352.2341753
621.5628822,354.264644
626.3136202,363.810414
619.4949574,394.8115002
635.582098,355.2291639
649.8082078,362.2641147
679.6747298,425.5428858
643.9089098,368.9689893
674.6963373,396.9430521
672.1227154,423.144318
637.7910428,385.4634124
667.8504112,417.2283934
656.2829372,406.0707812
613.0657721,446.883986
674.8046435,361.0980949
665.3108916,363.7175931
622.0864673,431.0695182
638.1309419,383.9787302
618.8819346,408.0217502
599.6278075,439.9587322
627.8644531,414.6982297
687.6549617,431.8549694
630.6236052,388.0421679
602.9923325,414.3268538
664.750054,361.5469352
615.5255474,377.3924861
617.7810312,370.9275635
608.7151348,376.008308
640.0094555,445.5240289
600.1056462,372.8532047
667.8456989,372.721918
638.043931,443.0352589
615.8943048,386.039419
626.4576218,448.0060759
587.5278039,368.8444937
626.6693266,400.1328447
649.4972087,400.261219
591.4878022,360.5529365
677.3134228,377.9707502
660.6639669,355.5466301
647.1681163,447.3491492
613.7077277,386.647864
605.7573578,415.2349417
675.9423504,405.3374826
672.2952517,403.5550165
663.6839111,385.0198742
616.084798,396.7239191
609.4937714,389.0732221
608.3298723,417.1470584
619.9067433,423.4297744
698.5410826,424.8934822
685.1485012,365.4598101
681.3740998,421.6679444
642.2258315,353.8192322
680.0783372,367.6549601
666.9636767,386.1512444
614.9575215,372.5394923
685.3063098,367.8187044
604.1558156,428.786814
692.6954999,355.1871191
603.8691865,395.7181646
609.2940967,400.6701039
641.3771886,425.8868458
674.7636825,380.2709745
648.298918,380.455921
609.6233041,380.3818638
667.6012649,467.2456176
601.7001861,435.6668125
685.8660334,403.7639244
618.9568663,416.080677
651.7556829,389.6178564
638.6051825,389.3939884
597.7915589,389.8728503
658.8931289,405.1687224
669.0928389,427.594185
608.6352895,389.1964263
594.6998743,472.0393039
658.4016747,469.2329127
631.4257131,412.6230114
687.6678858,326.5323584
617.2246353,304.8524915
498.8548472,458.9118819
524.7050789,390.1775222
520.5659773,444.1171163
641.3161046,365.2426893
683.9908382,359.9565758
638.9164713,323.5690965
542.0059015,347.5270703
611.9646116,377.2549779
520.6541677,455.9964532
594.4793142,392.9014547
